iter	Passed	Remaining
0	4	889
1	8	840
2	12	804
3	16	788
4	20	787
5	24	778
6	27	771
7	31	766
8	35	761
9	39	756
10	43	750
11	47	746
12	51	742
13	55	738
14	59	734
15	63	729
16	67	726
17	71	720
18	75	715
19	78	710
20	82	707
21	86	703
22	90	698
23	94	694
24	98	690
25	102	685
26	106	681
27	110	676
28	113	671
29	117	666
30	121	662
31	125	658
32	129	654
33	133	651
34	137	647
35	143	651
36	148	652
37	152	651
38	157	650
39	162	648
40	166	645
41	170	641
42	174	636
43	178	632
44	182	627
45	186	623
46	190	619
47	194	614
48	198	610
49	202	607
50	206	602
51	209	597
52	213	593
53	217	588
54	221	583
55	225	578
56	228	574
57	232	570
58	236	566
59	240	561
60	244	557
61	248	553
62	252	549
63	256	545
64	260	541
65	264	537
66	268	533
67	272	529
68	276	524
69	280	520
70	284	516
71	288	513
72	292	509
73	296	505
74	300	501
75	304	497
76	308	493
77	312	489
78	316	485
79	320	481
80	324	477
81	328	473
82	332	469
83	336	465
84	340	461
85	344	457
86	348	453
87	352	449
88	356	445
89	361	441
90	365	437
91	369	433
92	373	429
93	377	425
94	382	422
95	386	418
96	390	414
97	394	410
98	398	406
99	402	402
100	407	398
101	410	394
102	414	390
103	418	386
104	422	382
105	426	377
106	430	374
107	434	370
108	438	365
109	442	361
110	446	358
111	450	354
112	454	350
113	458	346
114	462	342
115	466	338
116	470	333
117	474	329
118	478	325
119	482	321
120	486	317
121	490	313
122	494	309
123	499	305
124	503	301
125	507	297
126	511	293
127	515	289
128	519	285
129	523	281
130	527	277
131	531	273
132	535	269
133	539	265
134	542	261
135	547	257
136	551	253
137	555	249
138	559	245
139	563	241
140	567	237
141	571	233
142	575	229
143	579	225
144	583	221
145	587	217
146	591	213
147	595	209
148	599	205
149	603	201
150	607	197
151	611	192
152	615	189
153	619	184
154	623	180
155	627	176
156	631	172
157	634	168
158	639	164
159	643	160
160	647	156
161	651	152
162	655	148
163	659	144
164	663	140
165	666	136
166	670	132
167	674	128
168	678	124
169	682	120
170	686	116
171	690	112
172	694	108
173	698	104
174	702	100
175	706	96
176	710	92
177	714	88
178	718	84
179	722	80
180	726	76
181	730	72
182	733	68
183	737	64
184	741	60
185	745	56
186	749	52
187	753	48
188	757	44
189	761	40
190	765	36
191	769	32
192	773	28
193	777	24
194	781	20
195	784	16
196	788	12
197	792	8
198	796	4
199	800	0
